Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
"Total","Trea Turner","PHI",42,96,87,28,17,6,0,5,22,10,7,0,16,2,0,0,1,7,1,0.32183908,16252
"Total","Nick Gordon","MIA",22,24,23,4,1,2,0,1,5,3,1,0,5,0,0,0,1,0,0,0.173913043,16337
"Total","Pablo Reyes","BOS",7,20,20,4,2,2,0,0,0,2,0,0,7,0,0,0,0,0,0,0.2,16357
"Total","Michael Conforto","SFG",39,66,60,16,11,3,0,2,5,7,6,0,19,0,0,0,1,0,1,0.266666666,16376
"Total","Thairo Estrada","SFG",43,92,87,16,10,4,0,2,10,10,4,0,18,0,1,0,2,0,0,0.183908045,16426
"Total","Ryan O'Hearn","BAL",19,22,21,5,5,0,0,0,1,3,1,0,2,0,0,0,0,0,0,0.238095238,16442
"Total","Luis Guillorme","2 Tms",11,13,13,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0.076923076,16451
"Total","Rhys Hoskins","MIL",34,68,57,12,7,1,0,4,7,13,8,1,18,1,2,0,2,0,0,0.210526315,16472
"Total","Kyle Schwarber","PHI",65,160,131,43,33,3,0,7,22,25,28,0,43,1,0,0,1,3,1,0.328244274,16478
"Total","Forrest Wall","ATL",2,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,16496
"Total","Matt Chapman","SFG",56,113,97,29,14,11,0,4,19,13,15,2,24,0,1,0,0,3,0,0.298969072,16505
"Total","Isiah Kiner-Falefa","TOR",45,73,66,19,16,1,1,1,9,6,3,0,9,3,0,1,2,0,0,0.287878787,16512
"Total","Mauricio Dubon","HOU",41,82,77,22,14,6,0,2,12,13,3,0,9,0,1,1,1,1,1,0.285714285,16530
"Total","Danny Jansen","TOR",28,48,38,9,7,2,0,0,8,3,9,0,10,0,1,0,1,0,0,0.236842105,16535
"Total","Ozzie Albies","ATL",36,98,96,33,21,9,0,3,17,12,1,0,12,1,0,0,2,2,1,0.34375,16556
"Total","Connor Joe","PIT",60,111,97,27,15,9,0,3,12,11,10,1,16,3,1,0,3,0,0,0.278350515,16572
"Total","Yandy Diaz","TBR",45,95,89,31,20,9,0,2,13,10,5,0,9,0,1,0,2,0,0,0.348314606,16578
"Total","Luis Urias","SEA",22,40,34,5,0,2,0,3,6,6,4,0,13,2,0,0,1,0,0,0.147058823,16622
"Total","Jason Vosler","SEA",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16686
"Total","Jose Trevino","NYY",38,74,65,14,9,1,0,4,11,11,6,0,13,1,1,1,4,0,0,0.215384615,16725
"Total","Jonah Heim","TEX",42,84,77,16,12,1,0,3,8,8,6,0,11,0,1,0,1,0,1,0.207792207,16930
"Total","Lane Thomas","WSN",44,98,84,28,19,5,1,3,11,13,10,0,12,3,1,0,2,11,3,0.333333333,16939
"Total","Derek Hill","2 Tms",13,23,21,6,3,0,0,3,4,4,2,0,6,0,0,0,1,1,1,0.285714285,16947
