Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Forrest Wall","ATL",28,47,1,9,3,8,0.106382978,0.212765957,0.119047619,0.387096774,0.309523809,0.382978723,0.428571428,0.3574779059024567,,127.91050677457262,-0.0461394275771454,1.6602810333326554,-1.239957382902503,0.19450347626622524,"Forrest Wall",16496,657088
"Oliver Dunn","MIL",41,104,1,11,7,3,0.057692307,0.384615384,0.094736842,0.37037037,0.221052631,0.281553398,0.315789473,0.2673649568002201,,70.94763746395708,0.8451541410759091,-2.686749210556539,0.9274400970898569,0.1827181898022359,"Oliver Dunn",26295,686554
"Austin Shenton","TBR",17,44,1,3,3,0,0.159090909,0.295454545,0.189189189,0.260869565,0.189189189,0.318181818,0.378378378,0.31170503388751636,,105.86269219161255,-0.2350758113898337,0.06624358176197176,0.21792113035917282,0.17706194674956888,"Austin Shenton",25425,668853
"Michael Pérez","NYM",3,8,0,1,0,0,0,0.125,0.125,0.571428571,0.5,0.5,0.625,0.4864214062690735,,215.78020121731205,-0.003965168027207255,1.1435085439948116,0.32175129279494286,0.17312498359081552,"Michael Perez",12977,605421
"Dominic Fletcher","- - -",56,186,2,14,20,0,0.069892473,0.258064516,0.101190476,0.330508474,0.244047619,0.306010928,0.345238095,0.2869507749002058,,80.02723051009724,-1.1803302248590626,-5.428924735751358,1.0555721004493535,0.1655126164386047,"Dominic Fletcher",26149,666150
"Enmanuel Valdez","BOS",106,331,12,37,45,6,0.066465256,0.241691842,0.181518152,0.289719626,0.244224422,0.294832826,0.425742574,0.3106188634608654,,92.64643816227968,0.5716220822650939,-2.2611804567938973,-7.132565813139081,0.15366758745605652,"Enmanuel Valdez",21716,665839
"Michael Brantley","HOU",15,57,2,7,7,0,0.035087719,0.035087719,0.148148148,0.25490196,0.277777777,0.298245614,0.425925925,0.30869161036976595,,95.86115594269852,-0.5545723191462457,-0.8372467311090739,0.39611578546464443,0.15097150105653986,"Michael Brantley",4106,488726
"César Salazar","HOU",21,45,0,6,7,0,0.066666666,0.222222222,0.052631579,0.3,0.236842105,0.295454545,0.289473684,0.26168008825995703,,67.00691034309408,0.2608420044416562,-1.5468401535962946,1.3463981376262382,0.13943220408595597,"Cesar Salazar",21587,663967
"Brett Baty","NYM",158,560,13,56,50,2,0.080357142,0.269642857,0.106719367,0.282798833,0.217391304,0.284684684,0.324110671,0.2710525053502851,,73.56874460632062,-0.4034374214243144,-18.58286294833656,0.7133319233544171,0.1302576758206081,"Brett Baty",26123,683146
"Rafael Ortega","- - -",61,153,1,20,9,8,0.143790849,0.241830065,0.046875,0.274725274,0.203125,0.322368421,0.25,0.270923446275686,,71.31614158251013,1.6216820841655135,-3.668964955923397,-0.3774073419626802,0.10476840631930191,"Rafael Ortega",10323,542364
"Mike Ford","- - -",101,313,17,34,38,0,0.083067092,0.306709265,0.211469534,0.251497005,0.211469534,0.293929712,0.422939068,0.31074635993939237,,99.9588792490263,-1.7561309235170484,-1.6031476886090044,-7.878347140969709,0.1010424437624462,"Mike Ford",15585,645801
"MJ Melendez","KCR",228,872,25,87,81,8,0.095183486,0.277522935,0.167733675,0.283783783,0.220230473,0.297018348,0.387964148,0.2982297940962059,,85.02959395455125,1.7507251612842083,-13.645561607080758,-14.696153202472487,0.10061160128674596,"MJ Melendez",22197,669004
"Zack Collins","CLE",2,6,0,0,0,0,0.333333333,0.333333333,0,1,0.5,0.666666666,0.5,0.526146392027537,,247.83812761683183,-0.03290835348889232,1.0299374991516383,-0.3307702485471964,0.0902413144200341,"Zack Collins",19181,641470
"Cody Thomas","OAK",19,46,1,1,2,0,0.086956521,0.369565217,0.142857142,0.375,0.238095238,0.304347826,0.38095238,0.30030896611835645,,93.83652688864841,-0.17043319949880242,-0.5101491320907864,-0.23557239212095737,0.08297463428629998,"Cody Thomas",19828,642137
"Tyler Black","MIL",12,38,0,2,1,3,0.105263157,0.315789473,0.05882353,0.363636363,0.235294117,0.315789473,0.294117647,0.27889754270252426,,78.82745278590238,0.641609133221209,-0.2988733762811804,-0.3382177231833339,0.06735544972747406,"Tyler Black",29949,672012
"Sam Hilliard","- - -",50,92,3,19,6,6,0.086956521,0.423913043,0.168674699,0.390243902,0.228915662,0.296703296,0.397590361,0.3022226592996618,,84.78223647504238,-0.1836025328375399,-1.8583552431582335,-0.6697791667538695,0.057475768437167146,"Sam Hilliard",17954,656541
"Conner Capel","- - -",37,94,0,7,3,6,0.127659574,0.287234042,0.061728395,0.388888888,0.259259259,0.361702127,0.320987654,0.31299663921619986,,102.24235966986066,-0.14327095611952245,0.12461891316231732,-2.7774805661756545,0.05444379839220781,"Conner Capel",19983,668843
"Joey Votto","CIN",65,242,14,26,38,0,0.111570247,0.256198347,0.230769231,0.212121212,0.201923076,0.314049586,0.432692307,0.3256492979270368,,98.33356200299352,-0.4851362002955284,-0.9847368372678846,-6.680849467404187,0.05274811143466773,"Joey Votto",4314,458015
"Jace Peterson","- - -",148,456,6,37,38,15,0.109649122,0.234649122,0.09090909,0.257839721,0.202020202,0.295154185,0.292929292,0.2654553246972835,,68.29146875062273,2.0828714076487813,-15.368569977126409,0.35232019633986056,0.04172998653567239,"Jace Peterson",12325,607054
"Tristan Gray","- - -",9,12,1,1,1,0,0,0.25,0.25,0.125,0.166666666,0.166666666,0.416666666,0.24055269360542297,,60.74218074861221,-0.007733085846211907,-0.6290949052942527,0.6112796245142817,0.034272440243475824,"Tristan Gray",19877,656484
"Willie Calhoun","- - -",95,335,7,36,28,0,0.092537313,0.137313432,0.136212625,0.28,0.255813953,0.325373134,0.392026578,0.3131543473080472,,100.30200304681962,-1.8008878773543984,-1.7013673381835448,-9.253584688529372,0.02318628066201356,"Willie Calhoun",17838,641432
"James Wood","WSN",8,35,1,4,6,1,0.171428571,0.257142857,0.137931035,0.368421052,0.275862068,0.4,0.413793103,0.36520728043147493,,137.6387121396366,-0.005794251337647438,1.5341209848443502,-2.5671650879085064,0.01587995377667112,"James Wood",29518,695578
"Jonathan Aranda","TBR",52,155,3,21,16,0,0.116129032,0.29032258,0.126865671,0.310344827,0.223880597,0.322580645,0.350746268,0.2991241363735942,,94.53538808639094,-0.17845983478764538,-1.1619445816116023,-3.944236749317497,0.007327322938864955,"Jonathan Aranda",21837,666018
"Andrew Stevenson","MIN",25,40,0,4,1,4,0.05,0.2,0.027027027,0.24137931,0.189189189,0.25,0.216216216,0.2164197728037834,,32.34516093165486,0.32477633544476703,-2.917809154238991,1.6008160549681634,0.0054867571253136216,"Andrew Stevenson",17932,664057
"Luis Guillorme","- - -",100,234,1,20,15,1,0.089743589,0.205128205,0.091346154,0.291925465,0.23076923,0.298701298,0.322115384,0.27493924343067666,,74.28686673247738,-0.2599797111179214,-7.546801982634872,-0.3374245688319206,0.0032971785631019657,"Luis Guillorme",16451,641645
"Anthony Bemboom","BAL",6,13,0,0,0,0,0.153846153,0.153846153,0,0.222222222,0.181818181,0.307692307,0.181818181,0.2428367963204017,,51.66211386286126,-0.040480226918589324,-0.793425801297654,0.2574988550040871,-0.008976740100382685,"Anthony Bemboom",13854,621532
"Nathan Lukes","TOR",29,31,0,4,2,0,0.129032258,0.29032258,0.115384615,0.277777777,0.192307692,0.29032258,0.307692307,0.26593059878195485,,66.76524598436878,-0.04782691833679564,-1.2823145436337418,0.11833038553595543,-0.010038727757106236,"Nathan Lukes",18123,664770
"Jacob Hurtubise","CIN",29,68,0,7,4,2,0.088235294,0.264705882,0.055555555,0.27027027,0.185185185,0.296875,0.24074074,0.25400886218994856,,56.86047259018818,0.7557460684329271,-2.6733394205142624,0.25026177801191807,-0.012178719056914755,"Jacob Hurtubise",27599,674441
"Adam Frazier","- - -",199,624,15,75,70,13,0.075320512,0.158653846,0.136767318,0.254988913,0.230905861,0.297253634,0.367673179,0.2924802404420634,,85.65996126445899,1.6065732903662138,-8.942329764928163,-12.130095767090097,-0.014027922850091593,"Adam Frazier",15223,624428
"Nolan Schanuel","LAA",111,473,9,50,36,2,0.10782241,0.160676532,0.09382716,0.28,0.24691358,0.339019189,0.34074074,0.3066522462500466,,94.86056905908458,-3.420503023080528,-6.210931305811968,-9.526735538616776,-0.015643568741192215,"Nolan Schanuel",33189,694384
"Raimel Tapia","- - -",64,169,3,28,13,10,0.100591715,0.23668639,0.101351351,0.301886792,0.236486486,0.317365269,0.337837837,0.2930601035763404,,80.15196262318126,1.6292192758992314,-2.505285134359535,-3.4296424947679043,-0.01644469038038629,"Raimel Tapia",14350,606132
"Jake Lamb","LAA",19,54,2,7,5,0,0.055555555,0.277777777,0.137254902,0.264705882,0.215686274,0.259259259,0.352941176,0.266665804165381,,63.95951116658192,-0.21260465448722243,-2.5445427161430514,0.5260764881968498,-0.016577484245637944,"Jake Lamb",13329,571875
"Jake Bauers","- - -",148,476,19,52,63,10,0.100840336,0.331932773,0.197149643,0.279352226,0.209026128,0.294117647,0.406175771,0.30418027865259273,,94.84341632727737,-3.182571118697524,-6.137043145728315,-10.50738996482687,-0.027344586418774908,"Jake Bauers",15194,641343
"Alfonso Rivas III","- - -",48,123,3,8,15,1,0.073170731,0.292682926,0.19266055,0.309859154,0.229357798,0.303278688,0.422018348,0.31285096582819205,,94.41196430493494,-0.8228886774741113,-1.6743849299905524,-2.7829986547876615,-0.029155308579879274,"Alfonso Rivas III",21560,663845
"Eddie Rosario","- - -",210,755,28,91,100,11,0.062251655,0.234437086,0.17831669,0.27,0.232524964,0.280212483,0.410841654,0.296936146756436,,85.14942171659739,0.05838883784235804,-13.056728807972624,-12.357551667373627,-0.029170156754803278,"Eddie Rosario",12155,592696
"Franchy Cordero","NYY",24,71,6,9,13,0,0.028169014,0.352112676,0.289855072,0.184210526,0.188405797,0.211267605,0.478260869,0.28614912906163176,,81.44507345233052,-0.010679702914785594,-1.589199985205209,-1.1628382573835552,-0.03158149491899061,"Franchy Cordero",14567,614173
"Nick Martini","CIN",81,242,11,33,40,1,0.057851239,0.219008264,0.211009174,0.248407643,0.229357798,0.290456431,0.440366972,0.3135666453986742,,94.78095073057753,-0.9324801696930081,-2.2084646336195117,-6.237114509567618,-0.038692634282495364,"Nick Martini",12005,605361
"Jake Cave","- - -",136,377,6,40,37,6,0.071618037,0.257294429,0.113372093,0.302040816,0.232558139,0.287234042,0.345930232,0.2769672457377116,,66.75397712476644,1.6667659943923354,-13.46180998977527,0.2320838775485754,-0.04224738606003703,"Jake Cave",14477,595909
"Travis Blankenhorn","WSN",10,37,1,2,1,0,0.162162162,0.162162162,0.096774194,0.166666666,0.161290322,0.297297297,0.258064516,0.2624232027981732,,60.67175469095722,-0.022721632849425077,-1.8254270013313794,0.1064501665532589,-0.046477259842119624,"Travis Blankenhorn",18395,663905
"David Dahl","- - -",23,71,4,7,9,0,0.042253521,0.323943661,0.208955224,0.219512195,0.19402985,0.225352112,0.402985074,0.2673824051736106,,70.59379350457434,-0.04407054343027994,-2.5226218123630653,-0.4492899440228939,-0.05066868617122636,"David Dahl",13744,621311
"Cal Stevenson","SFG",6,12,0,1,0,0,0.25,0.166666666,0,0,0,0.25,0,0.17397572100162506,,5.5146386251226005,-0.07172697177156806,-1.4763643865711333,0.34784366469830275,-0.07201386741598875,"Cal Stevenson",22411,670276
"Tucker Barnhart","- - -",78,219,1,19,15,2,0.114155251,0.333333333,0.047368421,0.299145299,0.189473684,0.285714285,0.236842105,0.24517943809658702,,52.72980595925612,-0.9836988091701642,-13.485413885082865,5.349093113094568,-0.08078738945686725,"Tucker Barnhart",10200,571466
"Austin Meadows","DET",6,21,0,0,2,0,0,0.142857142,0.047619047,0.277777777,0.238095238,0.238095238,0.285714285,0.22732893058231898,,38.32288732652188,-0.04507704253774136,-1.597020547410359,0.06296422705054283,-0.08114490399615212,"Austin Meadows",15672,640457
"Cal Mitchell","PIT",2,5,0,0,0,0,0.2,0.2,0,0,0,0.2,0,0.13918057680130005,,-22.956736409092855,-0.007705123629420996,-0.7693294193965275,-0.2732679061591625,-0.08708211749180256,"Cal Mitchell",22169,668751
