Season,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
"Total","Jon Gray","TEX",19,185,4.752,46,6,3,23,22,6,17,0,0,34,0.275449101,0.34054054,0.45508982,0.34485977823669844,14916
"Total","Ben Lively","CLE",17,174,2.8,31,5,1,14,14,6,14,0,1,40,0.196202531,0.264367816,0.354430379,0.2724143283805628,14932
"Total","Chad Kuhl","CHW",8,65,3.95121951,16,5,1,7,6,1,7,0,2,7,0.296296296,0.390625,0.481481481,0.3776080058887601,14975
"Total","Giovanny Gallegos","STL",15,28,11.36842106,8,4,0,8,8,3,2,0,0,2,0.307692307,0.357142857,0.807692307,0.48104867552007946,14986
"Total","Scott Barlow","CLE",40,66,3.05660377,8,3,0,6,6,1,8,0,1,27,0.142857142,0.257575757,0.25,0.2364700436592102,14993
"Total","Kyle Finnegan","WSN",38,71,1.42105263,8,0,0,5,3,2,6,1,0,28,0.125,0.197183098,0.21875,0.18380980151040213,15009
"Total","German Marquez","COL",1,8,5.39999999,1,0,0,1,1,0,2,0,0,1,0.166666666,0.375,0.166666666,0.2829311117529869,15038
"Total","Tim Mayza","TOR",31,58,2.91891892,14,1,0,4,4,1,7,0,0,5,0.28,0.362068965,0.36,0.32323660110605174,15042
"Total","Austin Voth","SEA",37,72,2.94545455,13,2,1,8,6,3,4,0,1,12,0.19402985,0.25,0.388059701,0.27709056519799763,15047
"Total","Yency Almonte","CHC",11,20,8.43750001,3,0,1,5,5,0,1,1,0,7,0.166666666,0.2,0.277777777,0.1769535792501349,15068
"Total","Rob Zastryzny","MIL",8,14,0,1,0,0,0,0,0,1,0,1,2,0.083333333,0.214285714,0.083333333,0.16390436461993627,15094
"Total","Ben Heller","PIT",2,5,53.99999973,2,1,0,4,4,0,0,0,1,1,0.5,0.6,0.75,0.5725445866584777,15100
"Total","Jake Bauers","MIL",3,6,0,0,0,0,0,0,0,2,0,0,0,0,0.333333333,0,0.22999258836110434,15194
"Total","Cole Sulser","NYM",3,6,5.39999999,1,0,0,1,1,1,0,0,0,4,0.166666666,0.166666666,0.666666666,0.3429864247639974,15256
"Total","Adam Cimber","LAA",20,36,13.50000001,7,1,0,11,11,0,7,2,2,8,0.259259259,0.444444444,0.296296296,0.336802016286289,15288
