Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
"Total","Isiah Kiner-Falefa","TOR",65,198,182,53,39,7,1,6,22,27,9,0,27,3,2,2,6,3,1,0.291208791,16512
"Total","Mauricio Dubon","HOU",69,179,169,44,32,11,0,1,23,15,6,0,23,1,2,1,2,1,1,0.260355029,16530
"Total","Danny Jansen","TOR",52,175,156,32,15,11,0,6,19,14,16,0,31,2,1,0,0,0,0,0.205128205,16535
"Total","Ozzie Albies","ATL",82,282,252,55,32,19,1,3,26,28,22,0,49,4,4,0,2,5,0,0.218253968,16556
"Total","Connor Joe","PIT",64,184,164,35,24,6,1,4,23,16,17,0,42,3,0,0,4,2,1,0.213414634,16572
"Total","Yandy Diaz","TBR",88,304,278,68,51,11,1,5,19,31,24,0,49,2,0,0,7,0,0,0.244604316,16578
"Total","Luis Urias","SEA",18,45,40,7,5,2,0,0,2,6,2,0,15,3,0,0,1,0,0,0.175,16622
"Total","Jason Vosler","SEA",2,7,6,2,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0.333333333,16686
"Total","Jose Trevino","NYY",43,104,96,26,19,3,0,4,10,15,6,0,17,1,1,0,6,0,0,0.270833333,16725
"Total","Jonah Heim","TEX",85,244,227,55,42,7,0,6,24,31,15,0,49,1,1,0,7,1,0,0.242290748,16930
"Total","Lane Thomas","WSN",67,213,192,42,27,8,2,5,28,23,18,0,52,1,2,0,2,13,8,0.21875,16939
"Total","Derek Hill","TEX",9,24,24,5,5,0,0,0,1,1,0,0,8,0,0,0,0,1,0,0.208333333,16947
"Total","Chadwick Tromp","ATL",15,41,39,11,6,5,0,0,2,4,1,0,13,0,1,0,1,0,0,0.282051282,16953
"Total","Gleyber Torres","NYY",91,291,259,63,43,15,0,5,30,29,25,0,64,1,4,2,5,1,1,0.243243243,16997
"Total","Edmundo Sosa","PHI",45,109,100,25,20,1,1,3,13,12,4,0,31,3,1,0,1,4,0,0.25,17022
"Total","Alex Verdugo","NYY",91,287,264,65,38,18,1,8,35,39,20,0,39,0,3,0,4,0,0,0.246212121,17027
"Total","Jose Herrera","ARI",9,19,16,5,5,0,0,0,2,3,2,0,4,0,0,1,0,0,0,0.3125,17040
"Total","Ramon Laureano","2 Tms",27,73,63,8,4,4,0,0,8,2,6,0,27,4,0,0,0,2,1,0.126984126,17128
"Total","Yoan Moncada","CHW",7,27,23,8,6,2,0,0,1,0,4,0,5,0,0,0,2,1,0,0.347826086,17232
