Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
"Total","Ildemaro Vargas","WSN",83,182,171,49,30,15,1,3,15,24,8,0,19,2,0,1,6,2,0,0.286549707,13324
"Total","Jake Lamb","LAA",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13329
"Total","Omar Narvaez","NYM",24,29,25,6,5,1,0,0,3,0,2,0,9,0,0,2,0,0,0,0.24,13338
"Total","Luke Maile","CIN",53,96,87,21,13,4,0,4,12,12,8,0,24,0,1,0,3,0,1,0.24137931,13355
"Total","Tyler Naquin","CHW",1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,13359
"Total","Christian Walker","ARI",117,264,231,62,35,10,0,17,40,52,29,3,59,1,3,0,9,1,0,0.268398268,13419
"Total","Tom Murphy","2 Tms",41,88,79,20,12,5,0,3,11,9,8,0,28,1,0,0,0,0,0,0.253164556,13499
"Total","Jose Ramirez","CLE",158,345,317,90,51,19,0,20,55,57,26,11,39,0,2,0,6,17,4,0.283911671,13510
"Total","Jesse Winker","2 Tms",63,106,91,22,14,7,0,1,10,9,12,0,32,2,1,0,2,6,1,0.241758241,13590
"Total","Patrick Wisdom","CHC",100,191,173,38,21,3,2,12,24,28,14,0,67,3,1,0,3,6,0,0.219653179,13602
"Total","Mookie Betts","LAD",126,285,241,74,37,20,1,16,55,44,40,3,30,3,1,0,5,7,1,0.307053941,13611
"Total","Ketel Marte","ARI",139,331,299,96,56,21,3,16,50,37,28,6,44,4,0,0,9,4,2,0.321070234,13613
"Total","Carson Kelly","2 Tms",42,73,62,15,11,2,0,2,8,6,11,0,19,0,0,0,2,0,0,0.241935483,13620
"Total","Jeimer Candelario","3 Tms",127,265,233,59,35,17,0,7,33,28,26,1,59,6,0,0,8,1,1,0.253218884,13621
"Total","Corey Seager","TEX",133,269,257,74,47,16,0,11,34,31,8,0,64,3,1,0,4,0,1,0.287937743,13624
"Total","Tyrone Taylor","2 Tms",86,147,143,32,17,9,2,4,15,16,4,0,32,0,0,0,6,5,0,0.223776223,13675
"Total","Jacob Stallings","2 Tms",64,105,90,24,11,8,1,4,13,13,12,0,27,1,1,1,3,0,0,0.266666666,13723
"Total","David Dahl","PHI",7,8,6,1,1,0,0,0,1,1,1,0,2,0,1,0,0,0,0,0.166666666,13744
"Total","Tomas Nido","2 Tms",40,70,61,9,8,1,0,0,5,5,4,0,21,0,2,3,0,0,0,0.147540983,13755
"Total","Chris Taylor","LAD",117,220,187,37,18,7,1,11,29,28,27,2,77,3,2,1,5,8,2,0.197860962,13757
"Total","Travis Jankowski","TEX",32,42,38,6,3,3,0,0,6,1,3,0,7,0,0,1,0,2,0,0.157894736,13768
"Total","Rob Refsnyder","BOS",108,225,185,57,43,10,1,3,27,29,35,1,43,5,0,0,4,4,1,0.308108108,13770
"Total","Matt Reynolds","CIN",2,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.25,13788
"Total","Matt Duffy","KCR",53,105,94,26,20,5,0,1,6,8,8,0,18,3,0,0,1,0,0,0.276595744,13836
"Total","Joey Wendle","2 Tms",32,38,36,8,5,3,0,0,8,1,1,0,9,0,0,1,2,0,0,0.222222222,13853
"Total","Anthony Bemboom","BAL",3,3,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,13854
"Total","Tyler Heineman","2 Tms",5,9,5,2,1,0,1,0,1,3,3,0,2,1,0,0,0,0,0,0.4,13897
"Total","Eric Haase","3 Tms",46,79,77,13,9,1,1,2,5,7,2,1,27,0,0,0,2,2,0,0.168831168,14111
"Total","Joey Gallo","2 Tms",73,108,96,14,7,3,0,4,9,6,10,0,47,2,0,0,1,0,1,0.145833333,14128
"Total","Daniel Vogelbach","2 Tms",19,18,17,0,0,0,0,0,3,0,1,0,9,0,0,0,1,0,0,0,14130
"Total","Byron Buxton","MIN",71,157,140,33,15,11,1,6,17,19,13,1,47,1,3,0,0,2,0,0.235714285,14161
"Total","Carlos Correa","MIN",102,211,182,49,29,9,1,10,30,29,24,4,31,2,2,0,6,0,0,0.269230769,14162
"Total","Andrew Velazquez","LAA",16,29,24,5,3,2,0,0,5,1,4,0,4,0,0,1,1,5,0,0.208333333,14196
"Total","Jorge Soler","2 Tms",107,228,191,51,23,12,0,16,43,30,32,1,53,4,1,0,7,0,0,0.267015706,14221
"Total","Mitch Haniger","2 Tms",73,155,143,28,21,5,1,1,15,13,12,0,42,0,0,0,6,1,0,0.195804195,14274
