Season,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
"Total","Hoby Milner","MIL",40,108,4.5,23,7,0,13,13,2,10,2,0,27,0.244680851,0.311320754,0.382978723,0.2962581102664654,13346
"Total","Steven Matz","STL",5,86,7.36363636,27,5,0,18,15,3,7,0,0,13,0.346153846,0.395348837,0.525641025,0.396281068408212,13361
"Total","Dylan Floro","WSN",46,129,1.92857143,26,3,0,8,7,0,9,0,0,27,0.220338983,0.2734375,0.245762711,0.23675207840278745,13394
"Total","Matt Koch","COL",2,2,0,1,1,0,1,0,0,0,0,0,0,0.5,0.5,1,0.6290197968482971,13420
"Total","Marcus Stroman","NYY",19,231,3.71856287,48,5,0,25,23,9,21,0,2,47,0.233009708,0.307359307,0.388349514,0.3064162437017862,13431
"Total","Pierce Johnson","ATL",30,73,0.54,16,3,1,1,1,0,6,1,2,20,0.246153846,0.328767123,0.323076923,0.2897699889209535,13435
"Total","Taylor Rogers","SFG",39,88,1.58823529,18,6,0,6,4,3,5,0,1,17,0.219512195,0.272727272,0.402439024,0.29368763958865945,13449
"Total","Lucas Sims","CIN",39,93,2.65573771,20,4,0,6,6,4,13,0,0,29,0.253164556,0.354838709,0.455696202,0.3530695041020711,13470
"Total","Matt Bowman","3 Tms",10,37,5.00000001,6,4,0,5,5,2,3,0,1,6,0.181818181,0.27027027,0.484848484,0.3226788849444003,13528
"Total","Blake Snell","SFG",9,145,4.95918367,34,6,1,19,18,3,14,0,1,33,0.261538461,0.337931034,0.392307692,0.32346099245137183,13543
"Total","Steven Okert","MIN",34,75,5.86956522,21,3,1,11,10,3,9,2,0,13,0.318181818,0.4,0.53030303,0.39372270074609206,13580
"Total","Patrick Wisdom","CHC",1,2,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0.7867355644702911,13602
"Total","Jakob Junis","MIL",9,51,2.91891892,11,3,0,5,4,2,3,0,1,9,0.234042553,0.294117647,0.425531914,0.31337332024293785,13619
"Total","Clay Holmes","NYY",36,80,2.89285714,16,6,0,8,6,0,6,0,1,28,0.219178082,0.2875,0.301369863,0.26555284708738325,13649
"Total","Tayler Scott","HOU",36,85,0.81818182,13,1,0,3,2,1,8,1,0,24,0.168831168,0.247058823,0.22077922,0.2126693988130206,13652
"Total","Max Fried","ATL",17,342,2.56653992,61,4,0,27,25,6,25,0,2,73,0.194888178,0.258064516,0.265175718,0.2379168777172167,13743
"Total","Tyler Duffey","KCR",9,23,3.375,3,0,0,2,2,0,5,0,0,5,0.166666666,0.347826086,0.166666666,0.26523343117340753,13758
"Total","Chris Stratton","KCR",38,101,5.68421053,17,7,1,18,16,3,10,0,1,20,0.195402298,0.28,0.40229885,0.2949709188938141,13761
"Total","Dominic Leone","CHW",15,35,9,7,3,0,9,8,2,6,0,0,9,0.24137931,0.371428571,0.551724137,0.39419454847063334,13763
"Total","JT Chargois","MIA",15,41,0,10,1,0,0,0,0,5,0,0,5,0.277777777,0.365853658,0.305555555,0.30876509009338005,13767
