Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Ryan Borucki","PIT",4,0,0,42,2,43.2,8.038170162597439,0.8244277089843527,0.8244277089843527,0.22608695652173913,0.77160494,0.47008547,0.093023255,,2.679390054199146,,3.2025032593569405,3.635274843304968,0.8602665066719055,"Ryan Borucki",16350,621366
"Cionel Pérez","BAL",5,2,4,93,0,79.1,7.487396878127893,4.310925475285756,0.226890814488724,0.3089430894308943,0.67114094,0.574380165,0.032786885,96.81626326421339,3.630253031819584,,3.5538538996227524,4.440447146814369,0.8005360662937164,"Cionel Perez",19614,672335
"Gabe Speier","SEA",2,4,1,91,0,71,10.90141255069184,2.6619728321456817,1.0140848884364502,0.30994152046783624,0.68601583,0.514285714,0.156862745,94.64406354765326,4.309860775854913,,3.375587092375864,3.0513826172739056,0.7738035768270493,"Gabe Speier",17170,642100
"Zack Thompson","STL",5,9,0,30,11,83.1,9.936001061279411,3.56400038067631,1.5120001614990406,0.34649122807017546,0.69469835,0.432773109,0.168674698,93.47975870219845,5.508000588317934,,4.509040381017363,3.9199189937916445,0.7710094936192036,"Zack Thompson",25918,668868
"Drew Smyly","CHC",13,16,0,63,23,173.1,8.930770082473837,3.738461894989048,1.6096155381202844,0.3,0.71833648,0.340594059,0.136563876,,4.725000450611158,,4.964259881126414,4.75464968579506,0.7685015052556992,"Drew Smyly",11760,592767
"Rich Hill","- - -",8,14,0,32,27,146.1,7.933940843429573,3.5671982086737613,1.4145785999913192,0.32054176072234764,0.66734075,0.379912663,0.13372093,88.41339902524595,5.412300730401569,,4.867796637748043,4.76786384653403,0.7230013012886047,"Rich Hill",4806,448179
"Jeffrey Springs","TBR",2,0,0,3,3,16,13.5,2.25,0.5625,0.11538461538461539,1,0.5,0.111111111,92.08431570870536,0.5625,,1.8175403594970705,1.9350507210940124,0.7177779674530029,"Jeffrey Springs",17677,605488
"Trevor Rogers","MIA",2,11,0,21,21,102.1,7.827361952560472,3.9576549198339466,1.0553746452890524,0.32051282051282054,0.71135431,0.496894409,0.115384615,92.64345799814356,4.749185903800736,,4.462455175227096,4.455139276931593,0.7143117785453796,"Trevor Rogers",22286,669432
"Robert Gasser","MIL",2,0,0,5,5,28,5.142857142857143,0.32142857142857145,0.6428571428571429,0.2826086956521739,0.78767123,0.430107526,0.0625,93.2071063701923,2.5714285714285716,,3.381090218680246,4.117562910488674,0.6645591259002686,"Robert Gasser",29812,688107
"Tim Herrin","CLE",4,1,0,65,0,64.1,9.79274833988735,3.91709933595494,0.5595856194221344,0.27848101265822783,0.73569482,0.464968152,0.074074074,96.28512378808864,3.217617311677272,,3.282470721335456,3.776471764482449,0.6516115516424179,"Tim Herrin",25139,682120
"Nick Ramirez","- - -",1,2,1,39,0,52,5.538462249485084,2.769231124742542,0.17307694529640888,0.3103448275862069,0.66572238,0.488505747,0.017543859,90.50246384564568,3.461538905928178,,3.235809466070928,4.752805664509121,0.6489146982785314,"Nick Ramirez",12575,598286
"John King","- - -",5,2,0,65,0,70.1,6.014219586090956,1.9194317827949858,0.6398105942649953,0.32158590308370044,0.74712644,0.644736842,0.108695652,93.5217514038086,3.1990529713249765,,3.483782852514345,3.5711273346474286,0.6431761533021927,"John King",22051,667463
"Taylor Rogers","SFG",7,6,2,98,0,88,10.636366402808035,3.7840918933067043,0.9204547848583876,0.2890995260663507,0.7444668,0.418604651,0.102272727,,3.0681826161946253,,3.6163370222177065,3.855317819603758,0.6324864029884338,"Taylor Rogers",13449,573124
"John Means","BAL",3,2,0,8,8,44.1,5.278195640110665,1.2180451477178458,1.2180451477178458,0.1796875,0.83916084,0.240601503,0.08,91.21208552003817,2.6390978200553326,,4.341727436920539,5.228700796794988,0.6282655298709869,"John Means",16269,607644
"Ryan Weathers","- - -",4,13,0,28,25,128.2,7.694300727244629,3.4274612330453347,1.3989637685899325,0.2970027247956403,0.70440252,0.448818897,0.141843971,95.67178695305144,4.896373190064764,,4.869563105093383,4.564487920201623,0.6244397154077888,"Ryan Weathers",23796,677960
