Season,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
"Total","Andrew Chafin","DET",38,88,3.78947368,23,2,0,10,8,1,8,2,1,23,0.294871794,0.363636363,0.358974358,0.31492598112239395,12988
"Total","Colten Brewer","CHC",16,50,8.37931034,16,4,1,10,9,1,5,0,0,7,0.372093023,0.42,0.581395348,0.4188949716091156,12997
"Total","Yu Darvish","SDP",9,107,3.46153846,20,7,1,11,10,4,7,0,1,24,0.208333333,0.264150943,0.427083333,0.2943183290508558,13074
"Total","Gerrit Cole","NYY",7,68,6.1875,16,1,1,11,11,5,5,0,2,14,0.262295081,0.338235294,0.557377049,0.3814342802061754,13125
"Total","Derek Law","WSN",51,164,3.02586207,46,6,1,16,13,4,7,0,1,25,0.306666666,0.331288343,0.44,0.3299472701330126,13133
"Total","Jordan Weems","WSN",39,112,5.0625,22,3,1,18,15,5,12,0,1,22,0.222222222,0.3125,0.424242424,0.3222478064043181,13190
"Total","Ross Stripling","OAK",11,107,7.875,29,8,0,23,21,3,7,0,1,15,0.292929292,0.345794392,0.464646464,0.35179213107189283,13273
"Total","Matt Carasiti","COL",7,20,4.76470588,3,0,0,3,3,1,0,0,1,6,0.157894736,0.2,0.315789473,0.22686206698417663,13276
"Total","Danny Coulombe","BAL",27,54,3.52173913,6,1,0,6,6,3,3,0,0,19,0.117647058,0.166666666,0.31372549,0.208193173011144,13293
"Total","Ildemaro Vargas","WSN",1,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,0.8829365968704224,13324
"Total","Hoby Milner","MIL",43,118,4.12941177,25,7,0,13,13,2,11,2,0,29,0.242718446,0.310344827,0.368932038,0.29148817114662706,13346
"Total","Steven Matz","STL",5,86,7.36363636,27,5,0,18,15,3,7,0,0,13,0.346153846,0.395348837,0.525641025,0.39577184790788694,13361
"Total","Dylan Floro","WSN",48,135,2.09708738,27,3,0,9,8,1,9,0,0,28,0.217741935,0.268656716,0.266129032,0.2413266679244255,13394
"Total","Matt Koch","COL",2,2,0,1,1,0,1,0,0,0,0,0,0,0.5,0.5,1,0.6278129816055298,13420
"Total","Marcus Stroman","NYY",20,237,3.99408284,51,6,0,27,25,9,22,0,2,47,0.241706161,0.316455696,0.398104265,0.31392443280682786,13431
"Total","Pierce Johnson","ATL",31,75,0.51923077,16,3,1,1,1,0,6,1,2,22,0.23880597,0.32,0.313432835,0.2817289337918565,13435
"Total","Taylor Rogers","SFG",42,94,1.45945946,19,6,0,6,4,3,5,0,1,19,0.21590909,0.265957446,0.386363636,0.2838963035573351,13449
"Total","Lucas Sims","CIN",41,96,2.53125,20,4,0,6,6,4,13,0,0,31,0.243902439,0.34375,0.43902439,0.34158759874602157,13470
"Total","Matt Bowman","3 Tms",10,37,5.00000001,6,4,0,5,5,2,3,0,1,6,0.181818181,0.27027027,0.484848484,0.3220255004393088,13528
"Total","Blake Snell","SFG",10,167,4.18965517,36,8,1,19,18,3,16,0,1,48,0.24,0.317365269,0.366666666,0.30385537490159453,13543
"Total","Steven Okert","MIN",36,80,5.625,22,4,1,11,10,3,10,2,1,15,0.318840579,0.4125,0.536231884,0.4021658286070212,13580
"Total","Patrick Wisdom","CHC",1,2,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0.7866584956645966,13602
"Total","Jakob Junis","MIL",10,55,2.63414634,11,3,0,5,4,2,3,0,1,10,0.215686274,0.272727272,0.392156862,0.29012612971392543,13619
"Total","Clay Holmes","NYY",39,87,2.65573771,19,7,0,8,6,0,6,0,1,29,0.2375,0.298850574,0.325,0.2787165641784668,13649
"Total","Tayler Scott","HOU",39,92,0.73972603,13,1,0,3,2,1,8,1,0,29,0.154761904,0.228260869,0.202380952,0.19615957828668448,13652
"Total","Max Fried","ATL",17,342,2.56653992,61,4,0,27,25,6,25,0,2,73,0.194888178,0.258064516,0.265175718,0.23769571197347558,13743
"Total","Tyler Duffey","KCR",9,23,3.375,3,0,0,2,2,0,5,0,0,5,0.166666666,0.347826086,0.166666666,0.26524833751761395,13758
"Total","Chris Stratton","KCR",40,106,5.88461538,20,8,1,19,17,4,10,0,1,21,0.217391304,0.295238095,0.456521739,0.320395937420073,13761
"Total","Dominic Leone","CHW",15,35,9,7,3,0,9,8,2,6,0,0,9,0.24137931,0.371428571,0.551724137,0.3935684033802577,13763
"Total","JT Chargois","MIA",15,41,0,10,1,0,0,0,0,5,0,0,5,0.277777777,0.365853658,0.305555555,0.30863310505704183,13767
"Total","Zach Eflin","2 Tms",19,259,4.54891304,73,13,2,34,31,8,5,0,1,44,0.290836653,0.305019305,0.454183266,0.32519244296210154,13774
"Total","Alex Wood","OAK",8,123,4.33333333,29,6,0,17,13,5,15,1,2,22,0.284313725,0.380165289,0.490196078,0.37320389449596403,13781
"Total","Matt Strahm","PHI",41,101,0.95294118,12,8,0,4,3,1,7,1,0,38,0.130434782,0.188118811,0.25,0.18886030197143555,13799
"Total","Austin Adams","OAK",48,107,3.17647059,23,5,0,9,8,0,14,0,6,30,0.26744186,0.401869158,0.325581395,0.33799010236686633,13801
"Total","Paul Sewald","ARI",28,60,4.10869565,13,3,0,7,7,3,0,0,2,15,0.224137931,0.25,0.431034482,0.29233501156171166,13892
"Total","Chris Flexen","CHW",23,277,4.61658031,64,16,0,37,33,6,27,1,2,44,0.260162601,0.336956521,0.398373983,0.32314800132404675,13896
"Total","Brent Suter","CIN",35,125,3.49411765,32,7,0,11,11,4,9,0,0,23,0.278260869,0.328,0.44347826,0.33395356130599974,13942
"Total","Michael Wacha","KCR",19,228,2.11445783,49,8,0,14,13,6,15,0,3,41,0.23444976,0.293859649,0.358851674,0.28845346470673877,14078
"Total","Kevin Gausman","TOR",20,228,4.80368098,54,11,1,32,29,8,11,0,1,51,0.252336448,0.290748898,0.425233644,0.30897727385491525,14107
"Total","Jose Berrios","TOR",20,223,3.1863354,55,6,0,19,19,7,12,0,5,36,0.269607843,0.324324324,0.401960784,0.3191817972037169,14168
"Total","Josh Hader","HOU",42,146,4.4587156,27,2,0,19,18,9,12,0,0,53,0.201492537,0.267123287,0.417910447,0.2970696932648959,14212
"Total","Wandy Peralta","SDP",36,92,4.21875,20,2,0,12,10,4,8,0,1,12,0.243902439,0.315217391,0.414634146,0.3186583324618962,14295
"Total","Frankie Montas","CIN",18,179,3.76744186,38,10,0,18,18,3,15,0,1,39,0.233128834,0.301675977,0.349693251,0.2897017278484792,14309
"Total","Joel Payamps","MIL",41,79,4.05,12,3,0,10,9,1,6,1,2,20,0.173913043,0.256410256,0.260869565,0.23084517655434547,14332
"Total","Ty Blach","COL",18,216,7.6259542,73,15,1,37,37,10,14,0,4,26,0.374358974,0.423255813,0.615384615,0.44173877239227294,14361
"Total","Tyler Glasnow","LAD",18,224,3.12138728,40,15,0,20,20,5,13,0,0,79,0.19047619,0.236607142,0.333333333,0.2487398133214031,14374
"Total","Amir Garrett","LAA",6,15,6,2,1,0,2,2,0,4,0,0,6,0.181818181,0.4,0.272727272,0.3266722758611043,14375
"Total","Yunior Marte","PHI",16,49,5.0625,12,0,0,6,6,1,4,0,0,12,0.272727272,0.326530612,0.34090909,0.2964031526020595,14416
"Total","Jackson Stephens","ATL",3,8,0,2,0,0,0,0,0,0,0,1,0,0.285714285,0.375,0.285714285,0.3109138756990433,14420
"Total","Thyago Vieira","3 Tms",27,102,6.53225807,25,3,1,16,15,5,14,0,1,23,0.294117647,0.392156862,0.529411764,0.393346322517769,14510
"Total","Jose Leclerc","TEX",37,108,2.54117647,14,2,0,8,8,4,8,0,2,42,0.144329896,0.224299065,0.288659793,0.23121854969274216,14524
"Total","Jorge Lopez","2 Tms",37,100,1.44,21,5,0,6,4,0,10,0,1,12,0.235955056,0.32,0.292134831,0.2803035712242126,14527
"Total","Carlos Estevez","2 Tms",32,62,3.11538462,10,1,1,7,6,2,1,0,0,17,0.166666666,0.177419354,0.316666666,0.20862150096124218,14542
"Total","Jose Ruiz","PHI",31,83,2.61290323,17,0,0,8,6,2,5,1,1,16,0.226666666,0.277108433,0.306666666,0.2539862074503085,14552
"Total","David Bote","CHC",1,2,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0.3451901972293854,14593
"Total","Anthony Banda","LAD",27,76,3.05660377,13,0,1,8,6,2,11,5,0,15,0.206349206,0.315789473,0.333333333,0.2628528937487535,14706
"Total","Edwin Diaz","NYM",28,57,2.20408163,8,0,0,4,4,2,3,0,1,19,0.150943396,0.210526315,0.264150943,0.21386068850232845,14710
"Total","Paul Blackburn","OAK",8,93,7.40322581,23,6,0,17,17,5,9,0,0,14,0.273809523,0.344086021,0.523809523,0.3719577436806053,14739
"Total","Wes Parsons","2 Tms",3,12,11.57142859,4,0,0,3,3,2,1,0,0,4,0.363636363,0.416666666,0.909090909,0.5463428546984991,14764
"Total","Emilio Pagan","CIN",20,53,2.13157895,15,3,0,4,3,0,2,0,0,13,0.294117647,0.320754716,0.352941176,0.2970354309621847,14771
"Total","Buck Farmer","CIN",38,112,2.48275862,17,5,0,9,8,2,6,1,4,25,0.171717171,0.243243243,0.282828282,0.23222736066037958,14814
"Total","Michael Lorenzen","TEX",19,219,4.73376623,58,9,1,27,27,10,18,0,3,32,0.294416243,0.360730593,0.502538071,0.3723001583526124,14843
"Total","Joe Mantiply","ARI",43,90,3.54098361,22,6,2,9,8,0,9,4,0,14,0.271604938,0.344444444,0.395061728,0.30847515131151954,14857
"Total","Sam Moll","CIN",29,56,2.025,12,2,1,4,3,1,4,1,1,13,0.235294117,0.303571428,0.372549019,0.2910600087859414,14874
"Total","Jon Gray","TEX",19,189,2.21917808,42,6,1,14,12,1,3,0,0,42,0.228260869,0.239361702,0.288043478,0.23013679810026857,14916
"Total","Ben Lively","CLE",18,218,4.00645161,55,10,2,23,23,9,13,0,2,43,0.27093596,0.321100917,0.472906403,0.3423183054552166,14932
"Total","Chad Kuhl","CHW",10,62,3.6,8,2,0,6,6,1,10,0,0,17,0.153846153,0.29032258,0.25,0.2561236966040827,14975
"Total","Giovanny Gallegos","STL",19,51,5.0625,13,5,0,6,6,2,7,0,0,11,0.295454545,0.392156862,0.545454545,0.40212299660140394,14986
"Total","Scott Barlow","CLE",47,104,2.77941176,22,5,0,7,7,3,13,1,0,28,0.241758241,0.336538461,0.395604395,0.32110289231087397,14993
"Total","Kyle Finnegan","WSN",42,93,2.38235294,19,1,1,7,6,3,7,1,0,15,0.220930232,0.279569892,0.360465116,0.277172371097233,15009
"Total","German Marquez","COL",1,12,7.71428573,4,0,0,2,2,1,2,0,0,2,0.4,0.5,0.7,0.5066250761349996,15038
"Total","Tim Mayza","TOR",29,54,14.80645162,20,7,1,19,17,2,4,2,0,8,0.408163265,0.444444444,0.714285714,0.47481568501545834,15042
"Total","Austin Voth","SEA",43,84,4.09090909,11,0,0,13,10,4,5,0,2,24,0.144736842,0.216867469,0.302631578,0.23222957964403085,15047
"Total","Yency Almonte","CHC",15,42,0,3,1,0,1,0,0,7,0,2,13,0.09090909,0.285714285,0.121212121,0.22135803671110243,15068
"Total","Rob Zastryzny","MIL",8,15,2.45454545,3,1,0,1,1,0,0,0,0,3,0.214285714,0.214285714,0.285714285,0.21582136835370744,15094
"Total","Ben Heller","PIT",2,15,47.25000012,7,1,1,8,7,1,1,0,3,2,0.636363636,0.733333333,1.181818181,0.7522028644879659,15100
"Total","Jake Bauers","MIL",3,8,0,2,0,0,0,0,0,2,0,0,0,0.333333333,0.5,0.333333333,0.3933292478322983,15194
"Total","Cole Sulser","NYM",4,17,12,5,1,1,4,4,0,3,0,0,3,0.384615384,0.470588235,0.615384615,0.4450954935129951,15256
"Total","Adam Cimber","LAA",25,63,4.2,11,1,0,7,7,1,7,0,4,10,0.215686274,0.354838709,0.294117647,0.3059741883508621,15288
"Total","Austin Pruitt","TEX",4,15,10.80000001,3,0,0,4,4,1,2,0,0,1,0.25,0.333333333,0.5,0.3464376211166382,15290
"Total","Kevin Herget","MIL",5,20,0,1,0,0,0,0,0,2,0,0,5,0.055555555,0.15,0.055555555,0.1131848692893982,15369
"Total","Andrew Heaney","TEX",21,362,3.53076923,76,16,1,39,34,13,21,0,5,83,0.228228228,0.282548476,0.399399399,0.2965385512632016,15423
"Total","Nick Pivetta","BOS",16,194,5.51824817,51,10,2,29,28,11,9,0,0,54,0.277173913,0.30927835,0.532608695,0.35682079626112867,15454
"Total","Marco Gonzales","PIT",6,96,3.62686567,27,8,0,9,9,1,6,0,0,13,0.303370786,0.34375,0.426966292,0.33468832448124886,15467
"Total","Hunter Harvey","2 Tms",44,102,4.06849315,20,9,1,13,11,3,9,0,2,29,0.219780219,0.303921568,0.439560439,0.3223365340747085,15507
"Total","Tyler Rogers","SFG",52,106,2.025,25,6,0,6,6,2,2,0,0,21,0.240384615,0.254716981,0.35576923,0.26438018286003256,15541
"Total","Mark Leiter Jr.","2 Tms",29,53,6.75,9,0,0,10,9,1,6,1,1,19,0.195652173,0.301886792,0.260869565,0.2555146710230754,15551
