Season,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
Total,Fernando Cruz,NYY,45,80,0.00,16,6,0,0,0,2,8,0,0,26,.225,.300,.394,,518585
Total,Brandyn Garcia,ARI,14,27,0.00,7,2,0,0,0,0,3,0,0,5,.292,.370,.375,,805299
Total,Nestor Cortes,SDP,8,39,0.00,14,0,0,0,0,6,3,0,0,8,.400,.436,.914,,641482
Total,Chris Stratton,LAD,14,49,0.00,14,2,0,0,0,0,6,0,0,11,.333,.408,.381,,608717
Total,Kevin Gausman,TOR,32,370,0.00,66,16,2,0,0,10,24,1,1,84,.193,.247,.339,,592332
Total,Miles Mastrobuoni,SEA,1,3,0.00,0,0,0,0,0,0,1,0,0,0,.000,.333,.000,,670156
Total,Brent Suter,CIN,40,117,0.00,27,2,1,0,0,4,6,0,0,21,.243,.282,.387,,608718
Total,Chris Martin,TEX,40,70,0.00,17,2,0,0,0,2,7,2,0,15,.274,.343,.403,,455119
Total,Christian Montes De Oca,ARI,1,4,0.00,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,,801216
Total,Josh Winckowski,BOS,6,20,0.00,6,1,0,0,0,0,2,0,0,4,.353,.400,.412,,670174
Total,Jon Gray,TEX,6,28,0.00,7,2,0,0,0,2,1,0,0,4,.259,.286,.556,,592351
Total,Landen Roupp,SFG,22,257,0.00,58,14,0,0,0,5,30,1,2,48,.261,.352,.392,,694738
Total,John Schreiber,KCR,63,111,0.00,25,5,1,0,0,5,7,1,1,19,.243,.297,.456,,670167
Total,Eduardo Salazar,WSN,29,68,0.00,19,6,0,0,0,3,8,0,0,8,.328,.403,.586,,674285
Total,Jonathan Cannon,CWS,22,238,0.00,62,14,3,0,0,10,23,1,2,49,.295,.367,.533,,686563
Total,Valente Bellozo,MIA,32,169,0.00,51,10,1,0,0,9,12,0,1,22,.327,.379,.577,,678368
Total,Garrett Acton,TBR,1,4,0.00,0,0,0,0,0,0,2,0,0,0,.000,.500,.000,,670183
Total,Kevin Newman,LAA,2,7,0.00,1,1,0,0,0,0,0,0,0,0,.143,.143,.286,,621028
Total,Brayan Bello,BOS,29,411,0.00,83,18,1,0,0,9,41,0,8,67,.232,.322,.364,,678394
Total,Steven Wilson,CWS,47,91,0.00,26,2,0,0,0,5,9,1,1,18,.325,.396,.538,,621051
