Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
Total,Thomas Saggese,STL,34,68,66,18,15,2,0,1,0,4,1,0,20,0,1,0,2,0,0,.273,695336
Total,Carlos Correa,HOU,69,140,125,34,23,6,0,5,0,15,15,0,25,0,0,0,4,0,0,.272,621043
Total,Alec Burleson,STL,75,127,118,32,24,4,1,3,0,13,7,0,20,0,1,0,3,0,0,.271,676475
Total,Blake Perkins,MIL,32,54,48,13,9,2,0,2,0,4,6,0,13,0,0,0,3,0,0,.271,663368
Total,Myles Straw,TOR,76,146,133,36,26,9,0,1,0,15,10,0,28,0,0,3,2,0,0,.271,664702
Total,Carson Kelly,CHC,66,126,111,30,20,4,1,5,0,12,14,0,22,0,1,0,4,0,0,.270,608348
Total,Tyler Soderstrom,OAK,81,146,137,37,26,6,0,5,0,20,8,0,38,1,0,0,2,0,0,.270,691016
Total,Kyle Tucker,CHC,108,193,167,45,30,6,1,8,0,28,23,0,31,2,0,0,0,0,0,.269,663656
Total,Francisco Alvarez,NYM,40,66,56,15,5,6,1,3,0,9,10,0,14,0,0,0,2,0,0,.268,682626
Total,Cedric Mullins,NYM,76,132,112,30,19,7,1,3,0,12,15,0,21,1,2,2,1,0,0,.268,656775
Total,Jordan Westburg,BAL,50,108,101,27,20,2,0,5,0,13,5,0,22,1,1,0,0,0,0,.267,676059
Total,Andrew McCutchen,PIT,72,150,131,35,25,7,0,3,0,19,18,3,36,0,1,0,2,0,0,.267,457705
Total,Vidal Bruján,ATL,14,17,15,4,3,1,0,0,0,2,1,0,7,1,0,0,0,0,0,.267,660644
Total,Rafael Marchán,PHI,23,35,30,8,7,1,0,0,0,1,4,0,4,0,0,1,1,0,0,.267,665561
Total,Nasim Nuñez,WSN,17,35,30,8,5,1,0,2,0,4,5,0,3,0,0,0,1,0,0,.267,683083
Total,Richie Palacios,TBR,9,19,15,4,4,0,0,0,0,1,3,0,2,0,1,0,0,0,0,.267,680700
Total,Brooks Lee,MIN,94,178,169,45,36,4,0,5,0,20,6,0,37,2,1,0,3,0,0,.266,686797
Total,Santiago Espinal,CIN,70,126,117,31,22,9,0,0,0,6,9,0,11,0,0,0,4,0,0,.265,669289
Total,Spencer Torkelson,DET,96,190,159,42,22,10,0,10,0,27,28,6,42,0,3,0,1,0,0,.264,679529
Total,Jake Burger,TEX,55,100,91,24,13,5,1,5,0,24,6,0,18,1,2,0,0,0,0,.264,669394
Total,Starling Marte,NYM,68,147,133,35,24,7,0,4,0,12,11,0,30,2,1,0,4,0,0,.263,516782
Total,Kyren Paris,LAA,14,22,19,5,2,1,0,2,0,2,1,0,8,2,0,0,0,0,0,.263,677347
Total,Jurickson Profar,ATL,45,107,95,25,17,5,0,3,0,12,11,0,18,1,0,0,1,0,0,.263,595777
Total,Luis Arraez,SDP,84,204,183,48,40,4,0,4,0,18,8,0,10,1,2,10,3,0,0,.262,650333
Total,Taylor Ward,LAA,57,116,103,27,9,11,0,7,0,18,13,1,33,0,0,0,2,0,0,.262,621493
Total,Ryan Mountcastle,BAL,49,90,84,22,19,3,0,0,0,10,4,0,23,1,1,0,0,0,0,.262,663624
Total,Ramón Urías,HOU,61,118,107,28,19,5,0,4,0,16,10,0,31,0,1,0,1,0,0,.262,602104
Total,Jose Altuve,HOU,58,124,111,29,20,2,0,7,0,16,12,1,28,0,1,0,4,0,0,.261,514888
Total,Jonny DeLuca,TBR,10,23,23,6,4,0,2,0,0,2,0,0,5,0,0,0,0,0,0,.261,676356
Total,Brandon Nimmo,NYM,111,204,184,48,36,4,0,8,0,30,12,0,49,5,3,0,3,0,0,.261,607043
Total,Cam Smith,HOU,66,137,115,30,17,8,1,4,0,17,17,0,38,3,2,0,3,0,0,.261,701358
Total,Miguel Vargas,CWS,76,154,138,36,19,14,1,2,0,11,14,0,28,0,2,0,1,0,0,.261,678246
Total,Mookie Betts,LAD,92,187,165,43,30,6,0,7,0,21,17,2,19,1,4,0,4,0,0,.261,605141
Total,Austin Riley,ATL,47,101,96,25,18,3,0,4,0,9,5,0,22,0,0,0,3,0,0,.260,663586
Total,Jose Herrera,ARI,35,59,50,13,10,3,0,0,0,5,6,0,18,0,1,2,1,0,0,.260,645444
Total,Jeremiah Jackson,BAL,26,54,50,13,8,3,1,1,0,8,4,0,18,0,0,0,0,0,0,.260,669236
Total,Ildemaro Vargas,ARI,25,52,50,13,11,0,0,2,0,11,1,0,6,1,0,0,0,0,0,.260,545121
Total,Daulton Varsho,TOR,32,56,50,13,11,0,0,2,0,7,4,0,14,1,1,0,0,0,0,.260,662139
Total,Heriberto Hernández,MIA,56,124,108,28,17,7,0,4,0,15,15,0,36,0,1,0,3,0,0,.259,681715
Total,Ben Williamson,SEA,53,94,85,22,17,5,0,0,0,4,7,0,19,1,0,1,3,0,0,.259,810938
Total,Caleb Durbin,MIL,68,133,120,31,23,4,0,4,0,13,7,0,7,5,0,1,1,0,0,.258,702332
Total,Andy Ibáñez,DET,76,135,124,32,22,6,0,4,0,17,9,0,22,1,1,0,4,0,0,.258,628451
Total,Luis Robert Jr.,CWS,55,113,93,24,16,2,0,6,0,16,16,3,22,1,1,0,1,0,0,.258,673357
Total,Will Smith,LAD,55,112,93,24,14,6,0,4,0,10,18,0,26,1,0,0,1,0,0,.258,669257
Total,Trevor Story,BOS,88,170,159,41,28,6,0,7,0,29,9,1,41,2,0,0,0,0,0,.258,596115
Total,Adley Rutschman,BAL,57,110,97,25,18,5,1,1,0,4,13,0,17,0,0,0,3,0,0,.258,668939
Total,Logan O'Hoppe,LAA,45,80,74,19,14,1,0,4,0,10,5,0,19,1,0,0,5,0,0,.257,681351
Total,Bryan Reynolds,PIT,91,167,148,38,23,9,0,6,0,17,18,0,49,0,1,0,6,0,0,.257,668804
Total,Yainer Diaz,HOU,60,120,113,29,21,2,0,6,0,16,6,2,25,0,1,0,3,0,0,.257,673237
Total,Julio Rodríguez,SEA,77,186,172,44,24,9,1,10,0,24,14,4,45,0,0,0,3,0,0,.256,677594
Total,Gavin Sheets,SDP,78,153,141,36,25,8,1,2,0,18,10,0,28,0,2,0,2,0,0,.255,657757
Total,Taylor Walls,TBR,61,100,94,24,18,6,0,0,0,10,4,0,22,0,2,0,1,0,0,.255,670764
Total,Jordan Walker,STL,49,107,98,25,20,3,0,2,0,11,8,1,32,1,0,0,2,0,0,.255,691023
Total,Masyn Winn,STL,71,163,149,38,28,8,0,2,0,13,11,0,31,2,1,0,5,0,0,.255,691026
Total,Heliot Ramos,SFG,84,189,169,43,25,13,0,5,0,17,15,2,49,3,2,0,3,0,0,.254,671218
Total,George Springer,TOR,70,149,122,31,20,3,0,8,0,17,21,1,31,1,3,0,4,0,0,.254,543807
Total,Wyatt Langford,TEX,80,164,134,34,20,8,1,5,0,11,30,1,41,0,0,0,2,0,0,.254,694671
Total,Daylen Lile,WSN,44,77,71,18,14,1,1,2,0,4,3,0,17,2,0,1,1,0,0,.254,695734
Total,Abraham Toro,BOS,39,78,71,18,13,4,0,1,0,9,3,0,10,2,2,0,0,0,0,.254,647351
Total,Tim Tawa,ARI,47,82,75,19,15,3,0,1,0,7,5,0,24,0,2,0,2,0,0,.253,694374
Total,Anthony Volpe,NYY,87,172,154,39,23,11,1,4,0,22,14,0,41,1,2,1,3,0,0,.253,683011
Total,Coby Mayo,BAL,50,97,87,22,14,4,0,4,0,9,9,0,25,1,0,0,0,0,0,.253,691723
Total,Kyle Stowers,MIA,64,103,91,23,17,4,1,1,0,13,9,0,21,2,1,0,1,0,0,.253,669065
Total,Ronald Acuña Jr.,ATL,58,125,99,25,16,5,0,4,0,10,26,1,36,0,0,0,2,0,0,.253,660670
Total,Kyle Farmer,COL,58,123,111,28,19,3,0,6,0,14,11,0,25,1,0,0,4,0,0,.252,571657
Total,Kyle Schwarber,PHI,130,276,234,59,26,8,2,23,0,46,36,0,77,6,0,0,3,0,0,.252,656941
Total,José Caballero,NYY,65,123,104,26,14,7,1,4,0,16,17,0,36,1,0,1,0,0,0,.250,676609
Total,Junior Caminero,TBR,91,192,176,44,26,5,0,13,0,33,12,1,31,1,3,0,5,0,0,.250,691406
