Name,playerId,Season,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA
Tyler Rogers,643511,Total,SFG,69,139,0.00,35,8,0,0,0,3,1,1,7,21,.273,.314,.406,
Fernando Cruz,518585,Total,CIN,58,124,0.00,28,7,1,0,0,6,18,1,0,41,.264,.371,.519,
Ricardo Pinto,620982,Total,PHI,6,26,0.00,7,2,0,0,0,0,1,0,0,3,.292,.308,.375,
Nick Vespi,663989,Total,BAL,10,13,0.00,2,0,0,0,0,0,1,0,0,4,.167,.231,.167,
Declan Cronin,686539,Total,MIA,47,115,0.00,31,8,1,0,0,1,10,3,2,23,.304,.374,.431,
Nestor Cortes,641482,Total,NYY,28,153,0.00,29,5,0,0,0,2,9,0,0,42,.204,.248,.282,
Chris Stratton,608717,Total,KCR,52,109,0.00,18,5,0,0,0,0,22,1,1,23,.214,.376,.274,
Kevin Gausman,592332,Total,TOR,30,390,0.00,83,24,1,0,0,9,31,0,0,79,.232,.292,.381,
Brent Suter,608718,Total,CIN,44,103,0.00,22,3,1,0,0,6,1,0,3,21,.224,.252,.459,
Chris Martin,455119,Total,BOS,44,94,0.00,25,1,0,0,0,2,2,1,1,28,.284,.304,.364,
Jose Cuas,621016,Total,TOR,13,33,0.00,9,1,0,0,0,3,7,1,0,6,.360,.485,.760,
Josh Winckowski,670174,Total,BOS,39,165,0.00,41,6,0,0,0,6,14,3,3,32,.285,.356,.451,
Jon Gray,592351,Total,TEX,23,218,0.00,55,10,3,0,0,7,23,1,0,38,.284,.358,.474,
Landen Roupp,694738,Total,SFG,23,103,0.00,16,4,0,0,0,1,19,0,0,16,.190,.340,.274,
Austin Voth,608723,Total,SEA,61,120,0.00,24,6,1,0,0,4,7,0,1,22,.214,.267,.393,
Parker Dunshee,670161,Total,ATL,1,6,0.00,1,0,0,0,0,1,2,0,0,1,.250,.500,1.000,
John Schreiber,670167,Total,KCR,52,98,0.00,24,7,1,0,0,1,8,1,2,19,.276,.347,.414,
Jake Diekman,518617,Total,NYM,37,67,0.00,8,1,0,0,0,1,11,0,3,15,.157,.333,.235,
Matt Koch,571863,Total,COL,2,3,0.00,2,0,0,0,0,1,1,0,0,0,1.000,1.000,2.500,
Derek Law,571882,Total,WSN,67,129,0.00,23,3,0,0,0,2,12,0,0,36,.197,.271,.274,
Eduardo Salazar,674285,Total,WSN,22,46,0.00,15,2,0,0,0,0,5,0,0,11,.366,.435,.415,
Jonathan Cannon,686563,Total,CWS,23,275,0.00,71,14,2,0,0,11,17,0,2,44,.278,.328,.478,
Valente Bellozo,678368,Total,MIA,13,133,0.00,29,5,0,0,0,5,10,0,1,23,.238,.301,.402,
Brayan Bello,678394,Total,BOS,30,379,0.00,86,19,0,0,0,13,43,0,6,72,.262,.356,.439,
Steven Wilson,621051,Total,CWS,38,76,0.00,8,0,0,0,0,4,19,5,1,14,.151,.384,.377,
Tyler Ferguson,621053,Total,OAK,42,89,0.00,20,5,2,0,0,4,14,2,2,18,.274,.404,.562,
